,tweetText,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,like_to_view_ratio
2796,"Pay attention.

You're surrounded by untapped money-making ideas.

Next time a fellow entrepreneur complains about something...

Take notes.

If he's having that issue, there's money in fixing it.",14,1,3,56,4188,5,0.013371537726838587
2990,"Pick 1-3 topics you want to be known for.

Make sure they relate to your service.

Then DECIDE to create 150 tweets of content about it.

If you can’t commit to posting at least 150 tweets, don’t even get started.",8,0,7,50,3742,13,0.013361838588989846
882,"No website?

You're telling prospects you're a joke. 

As a rookie, no website is fin.

As a pro? It's as essential as oxygen.",8,0,3,39,2920,7,0.013356164383561644
767,"Don't sell past the sale.

Got a ‘yes’? 

Shut up.

Why?

Cuz talking too much lost me a $12k deal once.

Learn from my mistake.",18,1,3,62,4645,3,0.013347685683530678
1350,"There are a lot of disgusting things in this world. But the one that wins over all disgusting things? 

People who munch and slurp and make sounds when they eat (brownie points for chewing with their mouth opened).

It should be made legal to punch them in the face.",8,0,0,27,2026,0,0.013326752
2570,"Spending more time researching your topic doesn't mean you'll write better content.

Only writing more content will help write better content.",8,0,2,42,3155,3,0.013312202852614897
1655,"People will take “ice bath” to practice being uncomfortable instead of doing the uncomfortable things that will actually better their lives.

It’s Depressing.

These fads are here to make you feel good, but they kill your progress.

How about forgiving your parents? Start there.",8,0,2,34,2557,0,0.013296832
1405,"I hate entrepreneurs who see the first opportunity to get themselves a car or buy a new house as soon as they start seeing money.

These entrepreneurs are doomed.

If you want to succeed, you need to sacrifice your immediate desires.",6,0,0,27,2033,1,0.013280865715691098
1936,"Offer FREE calls to show expertise
Help clients plan a roadmap
THEN pitch exclusive paid consult calls

Prove you ain't no scammer.

Because there are too many of them on this app.",6,0,2,27,2035,4,0.013267813267813268
2703,"I've been growing my Twitter account for years.

Consistently posting every single day no matter what.

Growing a personal brand is by far one of the hardest things to do,

I've failed and contemplated quitting a ton.

But the reward is simply worth every hardship it comes with.",31,1,2,106,7995,3,0.013258286429018136
1241,"Some of y'all clearly don't have faith in your services, and it's painfully evident in your sales calls. 

If you don't believe in what you're selling, why should anyone else?",7,1,0,26,1962,1,0.013251783893985729
1296,"Your business is failing, and I know why.

You expected instant success.

Newsflash: It doesn't work like that.

12 months, my friend. That's when you'll see REAL results.

Keep going.",6,0,0,25,1887,4,0.013248542660307366
973,"Skills that kill poverty:

Writing. Selling. Bragging.",3,0,4,22,1661,0,0.013245033112582781
2436,"Scare them.

Sell them the solution.

Strip them of their freedoms in exchange for security.

Repeat.

That's how the government and the media control you.",4,0,10,46,3475,7,0.013237410071942447
2704,"The best system by far to get you paid high ticket prices.

The $0 PDF funnel.

Create a free PDF and give it away in exchange for emails.

Blast your subscribers with value emails weekly.

Upsell your services at the end of every email.

Get leads on calls and close the sale.",13,0,4,91,6887,26,0.0132133
2613,"Your headline is the most important part of your copy. 

It needs to grab your audience's attention.

And make want to read more. 

Spend time crafting a headline that stands out.",6,0,0,42,3179,2,0.013211701793016672
203,"Charge more, work less.

It's simple.

I went from charging $500 → $5,000
Then from $5,000 → $10,000+

3 main differences:

1/ Target richer clients
2/ Streamlined deliverable
3/ Got over my 3-world mentality

Growth never stops, my friend.",18,2,7,95,7193,30,0.013207284860280829
1603,"Why is Twitter so entertaining?

For the first time in history…

You’ve got high IQ people and low-IQ people interacting “in the same room”

The funniest thing is that the low-IQ takes are the ones that rules on this platform.

Funny &amp; sad at the same time.",9,1,10,72,5462,1,0.013181984621017943
2391,"Too many people quit Twitter after a few weeks of posting.

They struggle with content ideas.

They struggle with monetization.

They struggle to stay afloat.

But those who are consistent…

Win everything.",18,3,8,51,3876,4,0.013157894736842105
3199,"Selling something online? 

Use this copywriting formula:

“BEFORE - AFTER - BRIDGE”

Before → Life with the horrific pain points

After → Life after solving the terrible pain points

Bridge → “how” your product will kill the suffering",6,1,6,55,4184,20,0.013145315487571701
2776,"When a man buys a perfume for his wife...

He isn't buying the ingredients.

He's buying the emotion his wife will feel when he gives it to her.",15,0,2,60,4568,0,0.013134851138353765
1322,"As the business owner, you’ve gotta hustle harder than all of your employees combined.

You cannot expect them to hustle harder than you.

It’s your business, after all.",10,0,6,45,3428,1,0.013127187864644107
2742,"Spend 30 minutes everyday creating content.

- Emails
- Tweets
- Threads
- Blog posts
- YouTube shorts
- Instagram Reels

Do this for 1 year straight and it's impossible not to get noticed.",10,0,0,54,4114,8,0.013125911521633447
2350,"Solo entrepreneurs are prime targets for endless distractions:

—Sales funnels
—Website creation
—Content generation
—Marketing automation
—Social media engagement

Pick one. Master it. The move to the next one.",4,1,3,35,2667,3,0.013123359580052493
1494,"This generation’s attention span is embarrassingly shorter than that of a goldfish. 

So if you want people to actually remember what you do, remind them every single day. 

Marketing is a daily thing.",6,1,1,29,2210,3,0.013122171945701358
2981,"People are self-centered.

Give them what they want and you'll never be broke.",14,0,4,65,4956,6,0.013115415657788539
3188,"Copywriting tips: 

- Turn spellcheck off
- Write first, edit later
- Never revise while writing
- Protect your flow of thoughts",10,0,6,58,4427,6,0.013101423085611023
809,"""Outreach is dead.""

Yeah, it's not. 
And it will never be.

Keep sending them emails and DMs.",21,1,2,61,4659,2,0.013092938398798026
1475,"People come on social media to escape reality.

That’s why boring content never gets engagement.

Write some polarizing content. 

Stir it up.

Get some haters.

Trust me, it's fun.",2,0,0,23,1757,0,0.013090495
1120,"There's no fancy trick to content marketing. You gotta create value, promote as your life depends on it, and shed a tear or two over that low-performing post before you hit success.",7,0,1,35,2674,2,0.013089005235602094
2705,"The best growth strategy I've seen for Twitter:

- 3 valuable tweets per day
- 2 threads about your story and offer per week
- As many DMs as possible to people who engage with you
- Comment only value under the tweets of high value accounts

Do this every single day/week.",8,0,5,70,5348,27,0.013089005235602094
3200,"Repeat after me:

Benefits over features.
Benefits over features.
Benefits over features.

Always.

Or die trying.",12,1,3,56,4279,4,0.013087169899509232
2615,"Copywriting is not about being fancy or clever. 

It's about communicating clearly and effectively. 

Keep your language simple and focus on conveying your message.",17,0,7,63,4814,6,0.013086830078936436
1465,"Ever seen people bitching their problems online?

Of course you have.

Use that to your advantage.

Take notes.

And get down and dirty with your readers.

Bitch about their frustrations in your content.

And offer them a fix.

Watch them paying you for it.",1,0,1,28,2140,2,0.013084112149532711
479,"Day 1: “lol... Look at this guy tweeting”

Day 30: “bruh, he's still tweeting?”

Day 90: “lol... only 1k followers”

Day 365: “Congrats on the 100k followers! I always knew you'd win”",18,0,3,67,5122,7,0.013080827801639985
1265,"Nobody knows how the algorithm works.

But that doesn't mean you can't win online.

Focus on the one algorithm that never changes: 

Human Nature.

Understand what people want, hate, love, fear.

And you'll never fail.",7,0,0,23,1759,1,0.013075611142694713
1155,"If nobody's buying, switch up your price.

I remember I sold a course for $198.

Then I raise the price to $298.

And to my surprise…

$298 sold better.",12,1,5,44,3366,3,0.013071895424836602
2921,"Create a LOT of content.

Shamelessly promote yourself and your offer.

Keep doing this, and there’s no reason why you can’t make 3x your current revenue within 3 months of consistency.",10,0,9,87,6662,20,0.013059141398979285
2977,"A single tweet can land you a $5,000 client.

Even if you have fewer than 1,000 followers.

The trick is to reach out to people who liked your tweets.

And offer them your services.

Stop overcomplicating.",10,0,2,59,4532,7,0.013018534863195057
950,Turn off spellcheck and stop obsessing over errors.,9,0,1,23,1767,0,0.013016411997736276
1510,"Being born and raised in a third world country has showed me that, in fact, money buy happiness.",9,0,3,44,3381,0,0.013013901212658977
1145,Taking control of your time is the best gift you can give yourself.,15,1,5,40,3074,2,0.013012361743656473
2600,"People can be disgusting at times.

But they can also be immensely kind.

Human nature is fascinating.",5,0,3,43,3305,2,0.013010590015128594
2827,"While you were redesigning your website, a 20-yo kid from a third world country with a 7 year old laptop took all your customers because he was focused on lead generation and sales.",12,0,3,74,5688,8,0.013009845288326301
1625,"The ultimate power in copywriting is EMPATHY.

Know your audience's desires
Understand their fears deeply
and you'll be invincible

Many writers will never experience they joy of making their readers TAKE ACTION&gt;

But if you master empathy, people will follow your commands.",1,0,0,25,1922,2,0.013007284079084287
2670,"You've been told that:

“Creating content is hard”

“You must plan the next 6 months of content to reduce overwhelm”

“AI and automation will destroy the creator economy”

Meanwhile...

You’re missing out on making $100K-$300K this year with Instagram because your excuses.",11,0,6,58,4460,3,0.013004484304932735
2617,"Bullet points are your friend. 

They break up your copy, make it more readable, and highlight important information. 

Use them wisely.",11,0,4,46,3538,1,0.013001695873374788
2253,"Wake up.
Plan.
Execute.
Follow-up.
Sleep.

Repeat.

Those who lack discipline, who can't maintain focus, who crumble under pressure…

They will NEVER taste success. 

If this is too much for you, don’t even start.",10,0,5,35,2692,6,0.013001486
1327,"Being able to own your day and time?

It’s priceless.",6,0,2,34,2617,1,0.012991975544516622
742,"Copywriting is here to stay forever.
 
It’s the #1 online skill.
 
Almost everything you see online has it:
 
Ads
DMs
Emails
Captions
Websites
Carousels
Blog Posts
 
Typing words on a keyboard = Money.",10,0,3,35,2694,6,0.012991833704528583
2897,"You're not going to get rich quick: Anyone who tells you that you can get rich quick by starting an online business is lying to you. It takes hard work, dedication, and time to build a successful online business.",22,5,6,97,7467,5,0.012990491
2578,"A great copywriter is a great storyteller. 

When you weave a narrative into your emails, tweets, posts..

You can capture your audience's attention.

And build a deeper connection with them.

Learn copywriting.",15,0,3,48,3697,3,0.012983500135244793
1371,"You can have anything you want in life.

Big houses
Fast cars
Savory food
Maids
Chauffeurs
Cocaine
And more

You just need money.",7,0,0,28,2160,2,0.012962962962962963
2812,"You can craft more compelling copy by asking yourself the right kind of questions.

Instead of asking: 

""Will this ad sell?""

Ask:

""Will my audience relate to this ad?""

The key is to stop thinking like a writer and start to think like your audience.",6,0,2,38,2932,6,0.012960437
1000,"If you doubt your product, Stop selling. 
Immediately.

Figure our the source of your doubt.
Kill it with fire.",4,0,2,22,1698,1,0.012956419316843345
2689,"The self-development gurus lied to you.

Passion does not elevate success . . .

Success elevates passion.",12,0,4,51,3939,1,0.012947448591012947
2623,"Copywriting is not a one-and-done process. 

Test and tweak your copy over time to improve results. 

Keep track of what works and what doesn't, and adjust accordingly.",9,0,0,40,3095,0,0.012924071082390954
3025,"3 marketing tools that are overrated:

1. Logo
2. Brand kit
3. Fancy website

3 marketing elements that are underrated:

1. Your “Hero story”
2. Content creation
3. Market research

Make sure you’re focusing on the right things.",14,0,7,64,4954,9,0.012918853451756156
3197,"Copywriting is only 10% writing.

The other 90% is: Understanding human nature.",9,1,4,64,4955,1,0.012916246215943492
1114,Listen twice as much as you speak on a sales call.,9,0,1,31,2406,7,0.012884455527847049
1854,"Not sure about pricing?

Rule of thumb: Begin with $1,000.

Found a wealthier client? Charge more.
Efficiency improved? Charge more.
Can deliver faster?  Charge more.",7,0,1,26,2018,4,0.012884044
1049,"Your copy?

98% about them, 2% about you.

Audience-centric copy always wins.",12,0,5,60,4664,7,0.012864493996569469
1022,"You wrote 1000 words.
Only 500 matter.
The rest?
Noise.
Edit savagely.",13,1,4,41,3188,1,0.012860727728983688
1912,"Think of money as an opportunity.

Make more $$$ = Help more people &amp; make a difference.",5,0,3,32,2494,2,0.012830793905372895
1355,"Saving money will not make you rich.

Making more money will.

Cash flow is king.",7,0,7,51,3978,3,0.012820513
300,"“I want to tweet daily, but I don’t have time.""

1. Plan ahead
2. Build a swipe file
3. Create in batches
4. Write hooks in batches
5. Edit the content in one sitting
6. Schedule everything using HypeFury

You don't have to create content daily.",10,0,0,28,2185,8,0.012814645308924484
2628,"Don't just sell a product or service. 

Sell a transformation.

Show your audience how their life will be better after they use what you're offering.",9,3,5,64,5000,17,0.0128
2514,"You don't need a fancy website, a perfect sales funnel, or a massive email list to sell your online course.

All you need is a damn good course and the guts to market it.",15,0,2,42,3282,4,0.012797074954296161
2146,"People look at solopreneurs like they're crazy.

But who's more insane?

• The one chained to a desk?
• Or the one seeking true freedom?

Embody the courage to defy expectations.",5,0,3,30,2346,0,0.012787724
1963,"Listen up, content creators: 

Monetization is your friend. It fuels your passion and supports your craft. Don't shy away from it.",7,1,4,30,2348,0,0.012776831345826235
798,"Craft sales pages for ONE.

Speak their language.
Echo their pain.

Forget complexity &amp; prioritize clarity.

Watch the conversion rate rise.",3,0,1,22,1722,5,0.012775842044134728
1291,Don't be fooled by those instant success stories. True victory takes time.,15,0,4,33,2583,1,0.012775842044134728
1520,"Using big words to sound sophisticated is a low-IQ move.

Pompous, unrelatable, and unclear copy will always fail.

It makes you look insecure.

The only thing worse than this?

Dumbing down your copy.

You want smart people to buy your stuff.

Not neanderthals.

Find a balance.",14,0,2,43,3367,3,0.012771012771012771
763,"Confidence is the number one predictor of getting a yes in a sales call.

If you hesitate, you’ll get a no.",10,0,1,26,2037,3,0.012763868433971527
1307,Obsessive Dedication is the secret to building a successful business.,1,0,3,17,1332,2,0.012762762762762763
3039,"Use a thesaurus.

Not to find complex words,

But use it to find simpler words.

There’s always a simpler way to say things.",10,0,4,59,4627,2,0.012751242705856926
1398,"WAKE UP!

Stop acting like a fool about this.

Understanding what I'm about to tell you will shift your whole universe.

If you do your job well…

All you need to 10X your prices is:

Raw Self-Confidence.

There's no two ways about it.

Raise your prices already.",2,0,2,28,2196,3,0.012750455373406194
927,"Running a business is a brutal.
Depending on a salary is worse.",7,2,5,37,2906,2,0.012732278045423262
842,"Modern entrepreneurs are obsessed with 'perfect systems'

Bro, your dad built a biz without the internet, without Zoom, without automation, and certainly without AI.

No excuses.",8,0,3,29,2278,1,0.012730465320456541
248,"I've seen accounts with 500K followers struggle to make rent. Others with 1K followers making 7 figures.

Popularity? An empty trophy case.

Instead of racking up likes, rack up testimonials from paying clients.

The key?

Sell value, not your soul for clout.",10,0,1,37,2907,6,0.012727898176814585
2618,"Our natural instinct is to avoid pain and seek pleasure. 

Your digital products should help your clients with both.",8,0,5,43,3379,8,0.012725658478839894
2342,"STOP providing one-month plans or one-time projects.

People want to feel like there’s an actual roadmap.

Make clients commit to a period of 3–6 months.

And raise your prices.",4,0,3,32,2515,5,0.012723658051689861
893,Bullet points are your lifeline in copywriting.,10,1,1,29,2281,2,0.012713722051731697
1240,"Internet is a wild, wild place.

Raise your prices already. https://t.co/0y0fx6Q8tU",3,1,0,27,2125,0,0.012705882352941176
2803,"Your heroes also deal with imposter syndrome.

But unlike many, they do the work despite how they feel.",14,0,4,50,3937,2,0.012700025
1078,"To succeed in marketing, you must act as if you've already won the game.

Even before it begins.",13,1,6,63,4961,4,0.012699052610360815
2558,"To stand out in a crowded market...

Know what NOT to say in your marketing message.

EG: Imagine you sell solar panels to Republican.

Never say the term ""green energy""

Instead say, ""energy independence""",11,0,2,36,2835,1,0.012698412698412698
1483,"If you want to please everyone, just die already.

If you want to make real change, risk offending people.

Write with conviction.

Even if it means pissing off a few people.",7,0,3,29,2287,1,0.012680367293397464
1297,"Low-IQ: ""I need to fit in to get more sales.""

High-IQ: ""A segment of the market must HATE me with all their guts.""",3,0,1,25,1973,3,0.012671059300557527
999,"Your first website will be trash, accept it.

So just publish it.",9,1,2,25,1974,1,0.012664640324214792
1175,"Regular content is cool and all, but if you really wanna seal the deal, you must show them the door. Like, display your clients' work, results, and transformations. And add a CTA somewhere. Always add a CTA.",2,0,0,19,1501,1,0.012658227848101266
3112,"Add stories in your copy.

Take your customers on a journey.

Show them what life looks like now:
Fear, doubt, and insecurity.

And what it could be like after success:
Excitement, optimism, confidence.",9,1,6,55,4349,9,0.012646585421936076
2636,"Combine these 3 skills to never go broke:
→ Sales
→ Social skills
→ Persuasion

Stack up your skills. As the whole is greater than the sum of its parts.",13,0,4,71,5617,9,0.012640199394694678
799,"I got complacent.

And it all went down the drain.

Never again.",2,0,2,31,2453,2,0.012637586628618018
3158,"If you have 3K+ followers, launch a micro course.

A micro course is 60-min course you can sell for 100 bucks.

Then reach out to buyers.

And offer them your services.

That's how you turn $100 into $10K.",4,1,2,69,5462,23,0.012632735261808862
2426,"Always be selling

Let me ask you this:

- How many emails have you sent?
- How many people have you DMed?
- How many sales calls have you had this week?
- How many times have you promoted your $0 PDF?

Your income is proportional to the amount of shameless self-promotion you do.",4,0,5,42,3325,9,0.012631579
3201,Start feeling comfortable with telling people to buy from you.  No other way.,12,1,6,71,5623,2,0.012626711719722569
192,"Brutal truth about Twitter/X:

Nobody opens X to buy or learn.

They just want one thing:

To be entertained.

People treat this app as a fun virtual space…

This is not an online mall or a place people join to educate themselves on the secrets of life and business (that’s just the side effect of being entertained).

Do this:

Study your favorite X creators.

You’ll soon see that they post what I call “hair-on-fire” content, which is a mix of unhinged ideas mixed with value. 

It’s entertaining first.
Educational second.

So, switch up your game plan.

Instead of posting long boring threads, add personality to it.

Use:
- tons of bullet points
- rethorical questions
- interesting hooks 
- storytelling
- go on tangents

Also…

Throughout the day, post random thoughts that show your personality. 

Don’t post with virality in mind.

Memes and rage bait are ok from time to time, but if you want a solid following that buys, use them strategically.

Post in a way the repels people you hate and attracts people who value the same things you do.

That’s how you steal attention.

And you know what?

This strategy is like a magnet at a paperclip convention.

It gets people to read your stuff.

So even though they’re not here to “buy” or “learn,” 

they’ll end up buying and learning because you got their attention.

This is the 2024 X Strategy.

– @JoseRosado",18,0,2,68,5389,54,0.012618296529968454
2923,"Success with copywriting is NOT measured by:

- Likes
- Views
- Comments

Engagement is just a vanity metric.

Your copywriting success lies how much money content makes you.",8,0,1,41,3251,1,0.012611504152568441
1232,"If you think building a business is hard, you should really talk to a 60-year-old who regrets not starting when they had the time.",11,0,1,27,2141,2,0.012610929472209247
2312,"As a Solopreneur, your sales funnel should address 3 key elements:

1/ Awareness
2/ Engagement
3/ Conversion

This means:

—Attract an audience with content
—Build trust with a newsletter
—Solve problems with your offers",2,0,3,23,1824,12,0.012609649122807017
1654,"Some people will never grasp their online potential.

The reason? Boring content.

Do you showcase your expertise? 
Your unique stories?
Crazy insights?

If not, it's time for a change.",6,0,1,26,2062,6,0.012609117361784675
2560,"unique, authentic, and tailored

that's how your audience wants you to create your content",10,0,4,42,3332,2,0.012605042016806723
2695,"Reminder:

Your bookmarked tweets could help you to make a few thousand.

But only if you have the courage to stop hoarding ideas and get to work.",13,0,2,51,4047,6,0.012601927353595256
2821,https://t.co/N0OI0KFK5N,5,0,4,67,5319,0,0.012596353
1957,"I'm done with ""niche picking"" courses.

They're all the same
Repeating like a broken record

You don't need it. 

You're an expert already. Connect your ideas to your expertise.

Idea + Your Expertise = content goldmine.

Anyone can do this with a bit of practice.",7,1,1,41,3256,3,0.012592137592137592
2375,"Clients don't want features.

They want:
• Improved mental health
• Better physical wellbeing
• Increased confidence
• Enhanced relationships
• Higher career opportunities

Focus on the benetifs.",6,1,5,35,2783,8,0.012576356449874237
2693,🤌🤌🤌 https://t.co/9k3TG5gg88,8,0,3,102,8123,2,0.012556937092207312
2652,"Create a $0 PDF. 

Give it away for free in exchange for people’s emails.

Anyone who gets the PDF should be added to an automated email campaign.

5-10 emails:

Mostly about client success stories and personal stories.

See your bank account grow.",5,0,4,66,5258,35,0.012552301255230125
2360,"I started my online business at 30.

“It's too late”
“It's too risky”
“You’re too old”
“The market is saturate”

Every single person who said this to me didn't have an online business.

People love projecting their own insecurities onto you.",9,0,2,47,3748,4,0.012540021344717182
2699,"AI will destroy countless jobs.

But it won't replace distinctive, relatable personalities.

So if you want to protect your future, start building your personal brand",28,3,5,97,7738,3,0.012535538898940294
2583,"Don't just talk about your product's features. Focus on how it can solve your audience's pain points, and you'll stand out from the competition.",16,0,7,52,4149,3,0.012533140515786937
818,"You too can make an extra $1,000+ monthly selling digital products.

Like and Reply ‘course’

And I’ll auto-DM you my Conquering Info Products for free. https://t.co/uZ84dqAxvZ",142,0,12,151,12051,13,0.01253008
1334,"Every day progress is painfully slow. You won't see much change, and it's easy to stress about the future. But every once in a while, I look back at myself a year ago. That man came a long way. And he has so much more to do.",6,0,2,31,2477,4,0.012515139281388777
2782,"Most entrepreneurs have a massive problem with their sales messages.

The problem?

They are trying to be better.

But not different.

Remember this:

To get people's attention it's better to be different than better.",22,1,5,78,6237,10,0.012506012506012507
885,"The 4 C's of good copy:

Clear
Concise
Compelling
Credible",8,1,3,23,1840,2,0.0125
778,"It's simple:
• Create value content
• Send people to your newsletter
• Sell them on your services/coaching
• Get paid
• Repeat

I show you the process for free

Like and comment ""funnel""

And I'll auto-DM you my free '6-Figure Funnel' guide.
(Bonus: How to grow a newsletter) https://t.co/1m9NuG7lDr",170,0,26,199,15928,37,0.012493721747865394
2579,"Copywriting is the art of persuasion in the written form.

Your words have the power to move people to action. 

Learn how to craft compelling copy

And you'll rule the internet.",10,1,6,49,3923,3,0.012490441
2706,"Absolutely do not follow your passion when you're trying to make money.

You'll begin to hate your passion and develop the belief that money is hard to make.

Instead, focus on what brings in the money first and do that consistently.

Then use the money made to fund your passion.",18,2,4,79,6325,10,0.012490119
917,"I’ve made nearly $600K in digital product sales.

I use the same launch process every time.

And now it’s yours for free.

What's Inside:
✅ Notion template
✅ Launch checklist
✅ 2 videos on planning the launch

Like + Reply ‘launch’

And I’ll auto-DM my template",419,0,26,457,36593,39,0.012488727352225835
3155,"Learn copywriting or risk losing your online business. 

It’s necessary for your success. 

Don’t wait — master it.",14,0,3,67,5365,3,0.012488350419384902
946,"Your customers aren't just buyers.

They're your secret sales army.

Put their stories front and center.
Let them close your deals.",4,0,3,25,2004,2,0.01247505
3111,"Find a problem.

Write about how to fix it.

Sell the solution.

Repeat.

And now you have a digital product empire.",8,1,7,78,6254,8,0.012472017908538535
2642,"I was an ""I will start tomorrow"" person…

Until I wasn’t!

When I stopped being a “I will start tomorrow” person…

And began putting 60 minutes a day into building a business…

Things started working out for me.",10,0,5,64,5132,8,0.012470771628994544
1998,"Jason paid $500 for one call, loved it, and turned into a $20K coaching client.

Don't skip selling your 1:1 calls.",6,0,0,28,2247,0,0.012461059190031152
2813,"Your business is either making money or it’s falling.

Engagement and impressions don't pay the bill.",10,2,2,47,3772,1,0.012460233297985153
1349,"You want amazing results with mediocre efforts.

Good luck!",5,2,5,37,2973,4,0.012445341405987218
1394,"When you're the salesman, customer service, marketer, creator, accountant, graphic designer, executer, errand guy of your new small biz https://t.co/pgLU418i9m",5,0,3,41,3295,1,0.012443095599393019
3206,"If you don’t have faith in products, your marketing will look like a scam.",8,0,4,58,4662,1,0.012441012441012441
35,"The ONLY purpose of ""bonuses"" in your offers is to DESTROY objections. 

Adding bonuses without a strategic purpose WILL make your offer anti-persuasive.

Eliminate ALL objections with bonuses.

This is the way.",11,0,1,37,2976,13,0.012432796
1492,"I make $50K/mo selling my services

And it's simpler than you think

Here's what you need to build a business like mine:
1. Create a sales funnel
2. Promote your services every single day
3. Learn how to persuade people

No excuses, no shortcuts.
Just hard work and determination.",11,1,1,49,3942,11,0.012430238457635717
1252,"Understanding human nature is the true algorithm. Know what people want, hate, love, and fear. Focus on that, and your content will never get old.",8,0,1,27,2173,0,0.012425218591808559
2766,"That knowledge you think is ""too basic"" can get you a follower, a lead, a client, and a bunch of money. 

Share it",35,3,7,181,14573,12,0.012420229190969601
916,"Promote your newsletter savagely. Talk daily. Highlight perks. Address doubts.

Why? It's your ticket to a success.

Imagine not having a newsletter in 2023.",3,0,2,24,1935,5,0.012403100775193798
2487,"Good marketing copy is not about being pushy or salesy.

It's about guiding your customer through the buying process and making them feel like they made the right choice.",11,0,2,43,3468,3,0.012399077277970011
